Customer ID,Transaction Date,Transaction Amount,Category,Region
CUST029,2022-01-03,380.79,Clothing,East
CUST007,2022-01-06,951.21,Books,South
CUST071,2022-01-06,734.67,Health,North
CUST063,2022-01-12,602.67,Home,West
CUST058,2022-01-13,164.46,Health,East
CUST036,2022-01-20,164.43,Home,North
CUST027,2022-01-21,67.5,Home,East
CUST140,2022-01-26,867.51,Electronics,East
CUST023,2022-01-26,605.1,Books,South
CUST109,2022-01-29,710.99,Home,South
CUST009,2022-01-29,30.38,Electronics,East
CUST008,2022-02-01,970.21,Health,West
CUST024,2022-02-05,834.12,Electronics,South
CUST056,2022-02-09,220.22,Health,South
CUST060,2022-02-10,190.01,Books,South
CUST130,2022-02-11,191.57,Home,South
CUST007,2022-02-12,311.2,Clothing,North
CUST144,2022-02-22,529.51,Health,East
CUST051,2022-02-22,437.63,Home,North
CUST140,2022-02-25,298.32,Clothing,North
CUST108,2022-02-25,615.73,Clothing,East
CUST057,2022-02-28,148.1,Health,South
CUST115,2022-03-01,299.22,Home,West
CUST072,2022-03-01,372.7,Clothing,South
CUST002,2022-03-01,461.51,Electronics,South
CUST041,2022-03-05,787.32,Electronics,South
CUST109,2022-03-08,207.68,Home,South
CUST088,2022-03-15,519.09,Books,West
CUST072,2022-03-17,596.49,Electronics,North
CUST040,2022-03-17,55.99,Health,West
CUST056,2022-03-23,611.47,Home,East
CUST087,2022-03-24,178.82,Clothing,South
CUST027,2022-03-24,74.4,Electronics,West
CUST024,2022-03-26,949.4,Home,East
CUST098,2022-03-31,965.98,Home,West
CUST025,2022-04-04,810.31,Books,South
CUST092,2022-04-05,311.57,Clothing,South
CUST089,2022-04-13,106.7,Clothing,East
CUST068,2022-04-13,687.39,Clothing,West
CUST012,2022-04-16,445.75,Health,South
CUST118,2022-04-16,130.82,Home,East
CUST138,2022-04-17,500.23,Health,West
CUST032,2022-04-20,44.04,Health,West
CUST097,2022-04-22,910.23,Home,East
CUST021,2022-04-22,266.19,Clothing,West
CUST142,2022-04-25,665.9,Home,West
CUST076,2022-05-03,318.59,Books,South
CUST093,2022-05-04,524.87,Home,South
CUST148,2022-05-08,551.24,Home,South
CUST050,2022-05-12,193.01,Electronics,East
CUST018,2022-05-14,969.89,Books,North
CUST012,2022-05-21,777.38,Electronics,West
CUST059,2022-05-21,940.1,Clothing,East
CUST075,2022-05-22,895.88,Clothing,North
CUST021,2022-05-23,601.92,Books,North
CUST060,2022-05-26,922.66,Health,East
CUST026,2022-05-27,97.61,Home,North
CUST098,2022-06-01,204.02,Electronics,South
CUST072,2022-06-01,54.78,Books,East
CUST117,2022-06-03,332.08,Electronics,West
CUST094,2022-06-03,394.79,Home,South
CUST042,2022-06-05,278.64,Health,West
CUST095,2022-06-08,830.45,Electronics,North
CUST091,2022-06-11,363.19,Books,South
CUST054,2022-06-14,288.13,Home,West
CUST069,2022-06-14,547.27,Home,East
CUST019,2022-06-15,149.51,Health,North
CUST044,2022-06-16,804.18,Books,West
CUST137,2022-06-17,83.81,Home,North
CUST063,2022-06-21,987.02,Electronics,West
CUST042,2022-06-24,774.52,Clothing,East
CUST119,2022-06-25,206.73,Books,South
CUST098,2022-06-27,15.47,Electronics,West
CUST070,2022-06-30,817.31,Health,North
CUST143,2022-07-05,709.79,Health,East
CUST057,2022-07-06,731.72,Home,South
CUST084,2022-07-07,773.56,Health,North
CUST015,2022-07-10,83.3,Clothing,East
CUST059,2022-07-10,364.88,Electronics,North
CUST009,2022-07-21,124.71,Books,East
CUST081,2022-07-23,864.47,Home,South
CUST103,2022-07-24,627.07,Books,South
CUST069,2022-07-25,337.59,Electronics,North
CUST017,2022-07-25,72.92,Clothing,East
CUST055,2022-07-25,317.87,Electronics,West
CUST146,2022-07-28,331.93,Electronics,South
CUST081,2022-07-30,732.31,Home,West
CUST055,2022-08-03,641.18,Books,West
CUST128,2022-08-05,888.34,Electronics,North
CUST102,2022-08-07,477.49,Electronics,North
CUST118,2022-08-07,128.4,Clothing,North
CUST037,2022-08-10,716.11,Health,East
CUST068,2022-08-21,763.18,Clothing,South
CUST036,2022-08-22,565.66,Books,South
CUST064,2022-08-23,773.26,Books,West
CUST144,2022-08-23,498.86,Home,North
CUST138,2022-08-24,527.51,Health,East
CUST068,2022-08-26,433.27,Books,South
CUST150,2022-08-29,35.16,Health,East
CUST110,2022-08-31,116.81,Clothing,North
CUST150,2022-09-02,41.11,Books,North
CUST103,2022-09-05,640.05,Electronics,South
CUST093,2022-09-05,321.21,Books,West
CUST057,2022-09-06,513.48,Health,West
CUST036,2022-09-06,908.49,Books,North
CUST131,2022-09-12,256.8,Home,North
CUST127,2022-09-16,416.28,Electronics,West
CUST024,2022-09-16,758,Home,North
CUST013,2022-09-16,236.51,Clothing,South
CUST029,2022-09-17,86.21,Books,South
CUST040,2022-09-19,296.85,Books,East
CUST041,2022-09-26,169.61,Clothing,West
CUST109,2022-10-01,930.4,Home,North
CUST017,2022-10-05,810.04,Electronics,East
CUST099,2022-10-07,637.07,Home,South
CUST098,2022-10-11,872.75,Health,West
CUST120,2022-10-19,805.64,Home,South
CUST136,2022-10-21,194.7,Electronics,North
CUST065,2022-10-23,893.63,Books,East
CUST142,2022-10-24,543.95,Home,North
CUST003,2022-10-26,809.37,Clothing,North
CUST030,2022-11-01,897.13,Electronics,West
CUST138,2022-11-02,324.82,Books,West
CUST069,2022-11-02,118.95,Electronics,North
CUST088,2022-11-05,235.66,Clothing,West
CUST029,2022-11-07,432.84,Health,East
CUST076,2022-11-08,819.83,Electronics,East
CUST112,2022-11-09,862.12,Electronics,North
CUST041,2022-11-09,16.88,Home,East
CUST117,2022-11-10,515.64,Clothing,North
CUST001,2022-11-12,423.24,Clothing,East
CUST068,2022-11-13,229.89,Health,South
CUST129,2022-11-17,128.67,Clothing,North
CUST046,2022-11-18,344.24,Electronics,East
CUST130,2022-11-20,943.48,Health,South
CUST028,2022-11-21,329.97,Clothing,North
CUST077,2022-11-22,523.6,Health,East
CUST130,2022-11-26,705.99,Clothing,East
CUST051,2022-12-02,369.99,Clothing,South
CUST040,2022-12-05,972.06,Home,West
CUST096,2022-12-06,962.82,Clothing,West
CUST042,2022-12-07,259.26,Health,South
CUST139,2022-12-10,502.28,Electronics,South
CUST136,2022-12-15,307.87,Home,North
CUST001,2022-12-22,291.99,Clothing,West
CUST083,2022-12-25,46.52,Clothing,North
CUST126,2022-12-25,613.47,Health,East
CUST005,2022-12-27,507.65,Home,South
CUST029,2022-12-27,60.96,Clothing,North
CUST093,2023-01-03,285.86,Electronics,South
CUST079,2023-01-04,909.18,Electronics,North
CUST062,2023-01-07,247.17,Clothing,East
CUST015,2023-01-08,153.45,Electronics,East
CUST062,2023-01-08,494.56,Home,West
CUST146,2023-01-13,985.79,Clothing,West
CUST021,2023-01-15,249.63,Health,East
CUST022,2023-01-20,675.41,Home,North
CUST125,2023-01-22,764,Electronics,South
CUST018,2023-01-26,245.26,Clothing,East
CUST137,2023-01-27,730.93,Home,East
CUST033,2023-01-28,374.11,Electronics,North
CUST033,2023-01-30,635.98,Clothing,East
CUST122,2023-02-02,637.19,Books,East
CUST141,2023-02-10,540.42,Health,North
CUST043,2023-02-11,99.39,Electronics,East
CUST068,2023-02-12,836.95,Electronics,West
CUST136,2023-02-13,327.57,Books,West
CUST109,2023-02-21,194.65,Books,West
CUST055,2023-02-28,50.37,Home,West
CUST139,2023-03-02,594.98,Health,East
CUST052,2023-03-09,680.79,Health,South
CUST080,2023-03-10,26.42,Electronics,West
CUST103,2023-03-11,516.97,Books,West
CUST096,2023-03-15,234.23,Health,East
CUST113,2023-03-20,648.72,Clothing,East
CUST133,2023-03-23,182.62,Health,North
CUST116,2023-03-25,694.03,Electronics,West
CUST031,2023-03-26,392.87,Health,North
CUST064,2023-03-28,937.36,Home,West
CUST058,2023-03-30,146.15,Books,South
CUST017,2023-04-05,347.66,Electronics,East
CUST087,2023-04-06,122.34,Electronics,East
CUST006,2023-04-06,925.45,Books,North
CUST142,2023-04-08,878.57,Books,North
CUST059,2023-04-11,265.36,Books,East
CUST057,2023-04-11,663.38,Electronics,East
CUST002,2023-04-14,819.05,Books,East
CUST019,2023-04-18,559.65,Books,West
CUST016,2023-04-19,534.35,Electronics,West
CUST059,2023-04-20,249.43,Electronics,South
CUST018,2023-04-21,102.17,Home,West
CUST009,2023-04-24,898.24,Health,East
CUST085,2023-04-24,901.41,Clothing,West
CUST019,2023-04-26,636.77,Electronics,North
CUST132,2023-04-26,345.64,Clothing,East
CUST061,2023-05-04,355.72,Home,West
CUST072,2023-05-05,728.7,Health,East
CUST125,2023-05-05,898.14,Health,North
CUST055,2023-05-06,888.22,Health,North
CUST139,2023-05-07,782.08,Home,West
CUST034,2023-05-08,645.61,Books,East
CUST147,2023-05-09,93.3,Health,South
CUST148,2023-05-10,170.01,Health,North
CUST122,2023-05-13,899.57,Home,South
CUST063,2023-05-14,610.36,Books,West
CUST122,2023-05-15,19.11,Health,North
CUST105,2023-05-15,110.46,Health,South
CUST049,2023-05-16,666.87,Books,North
CUST025,2023-05-18,15.01,Electronics,South
CUST025,2023-05-22,169.2,Electronics,East
CUST111,2023-05-22,553.25,Health,East
CUST091,2023-05-24,694.98,Clothing,West
CUST109,2023-05-26,655.44,Books,North
CUST106,2023-05-28,232.03,Books,South
CUST120,2023-05-28,715.06,Clothing,West
CUST014,2023-05-30,244.88,Books,East
CUST026,2023-06-01,332.15,Home,East
CUST016,2023-06-01,749.03,Books,West
CUST104,2023-06-02,653.14,Books,North
CUST087,2023-06-05,850.73,Books,South
CUST028,2023-06-07,661.04,Electronics,East
CUST064,2023-06-09,572.63,Home,West
CUST050,2023-06-14,102.74,Books,East
CUST049,2023-06-15,374.04,Home,East
CUST138,2023-06-17,272.55,Home,South
CUST115,2023-06-26,251.55,Home,North
CUST036,2023-06-26,973.28,Clothing,North
CUST109,2023-06-27,399.17,Books,South
CUST047,2023-06-29,893.13,Electronics,West
CUST072,2023-07-01,634.83,Electronics,West
CUST119,2023-07-02,796.86,Electronics,North
CUST064,2023-07-04,507.61,Electronics,East
CUST020,2023-07-06,581.13,Books,East
CUST114,2023-07-08,497.59,Electronics,West
CUST141,2023-07-09,203.29,Home,South
CUST026,2023-07-11,725.23,Clothing,East
CUST013,2023-07-12,287.96,Health,West
CUST139,2023-07-13,34.07,Electronics,South
CUST004,2023-07-14,649.02,Health,North
CUST024,2023-07-16,185.34,Health,South
CUST061,2023-07-17,941.05,Health,North
CUST043,2023-07-20,954.39,Home,West
CUST105,2023-07-20,915.72,Electronics,South
CUST125,2023-07-21,376.46,Books,West
CUST124,2023-07-22,25.3,Home,North
CUST055,2023-07-24,929.04,Books,East
CUST103,2023-07-24,433.9,Electronics,East
CUST016,2023-07-26,966.99,Home,North
CUST043,2023-07-27,963.98,Health,East
CUST098,2023-08-03,854.48,Home,East
CUST001,2023-08-03,301.5,Home,South
CUST100,2023-08-03,391.25,Electronics,South
CUST068,2023-08-06,852.63,Health,East
CUST117,2023-08-09,323.75,Health,South
CUST074,2023-08-12,177.8,Clothing,North
CUST109,2023-08-13,561.23,Clothing,South
CUST143,2023-08-13,936.79,Books,South
CUST125,2023-08-14,699.07,Clothing,South
CUST040,2023-08-14,574.36,Electronics,West
CUST049,2023-08-15,106.2,Home,North
CUST076,2023-08-20,618.86,Health,East
CUST056,2023-08-21,990.15,Home,East
CUST015,2023-08-22,148.68,Electronics,West
CUST149,2023-08-24,523.15,Home,South
CUST139,2023-08-26,878.6,Health,North
CUST016,2023-08-30,743.36,Clothing,North
CUST081,2023-09-01,700.05,Books,East
CUST015,2023-09-04,705.46,Health,West
CUST013,2023-09-04,365.9,Health,West
CUST150,2023-09-05,300.66,Health,West
CUST123,2023-09-06,811.27,Health,West
CUST129,2023-09-10,812.01,Electronics,North
CUST136,2023-09-11,868.4,Health,South
CUST041,2023-09-12,914.11,Home,East
CUST015,2023-09-15,516.23,Electronics,North
CUST131,2023-09-15,506.5,Clothing,West
CUST021,2023-09-18,800.31,Home,West
CUST048,2023-09-20,653.46,Home,East
CUST018,2023-09-20,704.95,Home,South
CUST018,2023-09-22,797.83,Home,South
CUST061,2023-09-29,891.11,Electronics,South
CUST104,2023-09-30,344.62,Clothing,West
CUST031,2023-10-01,381.83,Clothing,North
CUST146,2023-10-07,103.04,Health,North
CUST064,2023-10-09,582.5,Books,South
CUST149,2023-10-11,45.58,Electronics,East
CUST011,2023-10-12,470.94,Clothing,South
CUST021,2023-10-14,547.22,Electronics,South
CUST108,2023-10-17,293.68,Electronics,East
CUST150,2023-10-20,594.92,Health,South
CUST145,2023-10-22,40.2,Clothing,East
CUST134,2023-10-23,46.97,Books,East
CUST081,2023-10-23,824.37,Books,North
CUST067,2023-10-25,366.59,Books,East
CUST053,2023-10-27,135.79,Home,South
CUST081,2023-10-28,527.02,Clothing,East
CUST062,2023-11-01,772.29,Home,South
CUST068,2023-11-02,223.66,Home,East
CUST102,2023-11-04,626.66,Home,North
CUST034,2023-11-07,94.49,Health,South
CUST077,2023-11-09,61.16,Health,South
CUST118,2023-11-09,536.04,Electronics,South
CUST081,2023-11-11,545.23,Electronics,East
CUST019,2023-11-12,641.06,Clothing,North
CUST003,2023-11-14,728.83,Clothing,North
CUST118,2023-11-19,976.09,Health,North
CUST145,2023-11-20,521.14,Electronics,North
CUST026,2023-11-20,329.73,Electronics,East
CUST019,2023-11-23,797.23,Home,South
CUST138,2023-11-25,278.12,Books,West
CUST055,2023-11-28,444.58,Books,North
CUST130,2023-11-29,87.67,Books,West
CUST068,2023-11-29,35.1,Health,East
CUST034,2023-11-30,963.02,Books,East
CUST090,2023-12-06,837.62,Books,West
CUST018,2023-12-08,699.01,Home,South
CUST063,2023-12-09,414.86,Clothing,West
CUST095,2023-12-13,181.56,Health,East
CUST073,2023-12-14,164.87,Electronics,West
CUST041,2023-12-18,257.74,Home,North
CUST113,2023-12-22,553.73,Books,North
CUST140,2023-12-22,717.45,Electronics,South
CUST078,2023-12-28,663.6,Home,West
CUST136,2024-01-05,287.13,Health,West
CUST003,2024-01-10,955.32,Books,West
CUST142,2024-01-11,740.52,Health,West
CUST077,2024-01-12,558.81,Home,South
CUST027,2024-01-26,615.6,Electronics,East
CUST035,2024-01-26,425.4,Clothing,South
CUST068,2024-01-29,255.25,Books,East
CUST030,2024-02-07,362.41,Health,East
CUST028,2024-02-08,760.27,Electronics,East
CUST142,2024-02-12,24.25,Electronics,West
CUST040,2024-02-16,124.91,Clothing,South
CUST070,2024-02-16,55.54,Home,East
CUST073,2024-02-16,50.32,Clothing,North
CUST054,2024-02-18,856.91,Clothing,East
CUST088,2024-02-19,706.62,Home,South
CUST053,2024-02-19,479.43,Home,West
CUST068,2024-02-20,106.86,Home,North
CUST130,2024-02-23,496.7,Electronics,East
CUST126,2024-02-24,478.74,Electronics,West
CUST065,2024-02-24,181.47,Books,South
CUST014,2024-02-25,439.51,Books,South
CUST024,2024-02-27,404.52,Clothing,North
CUST109,2024-03-01,619.69,Clothing,North
CUST071,2024-03-07,638.74,Books,East
CUST012,2024-03-08,54.85,Health,West
CUST001,2024-03-09,380.87,Clothing,West
CUST086,2024-03-17,629.6,Health,South
CUST034,2024-03-23,508.1,Health,South
CUST068,2024-03-25,857.92,Home,East
CUST042,2024-03-31,662.11,Electronics,East
CUST114,2024-03-31,171.31,Books,South
CUST142,2024-04-04,79.86,Electronics,South
CUST110,2024-04-07,646,Books,West
CUST144,2024-04-08,36.25,Electronics,West
CUST003,2024-04-08,589.92,Books,West
CUST029,2024-04-12,940.83,Electronics,East
CUST020,2024-04-14,579.72,Home,West
CUST039,2024-04-15,394.29,Health,North
CUST140,2024-04-16,646.86,Books,North
CUST010,2024-04-16,463.67,Health,West
CUST095,2024-04-19,550.16,Books,West
CUST150,2024-04-21,942.05,Books,South
CUST142,2024-04-23,392.24,Home,South
CUST038,2024-04-23,961.58,Electronics,East
CUST111,2024-04-26,906.3,Books,North
CUST033,2024-04-29,203.83,Electronics,North
CUST011,2024-04-29,78.67,Home,East
CUST079,2024-04-30,109.77,Clothing,West
CUST094,2024-05-01,28.04,Health,West
CUST011,2024-05-02,103.5,Books,East
CUST092,2024-05-08,686.18,Home,North
CUST054,2024-05-10,80.48,Electronics,North
CUST064,2024-05-10,325.79,Books,West
CUST027,2024-05-13,846.43,Electronics,South
CUST091,2024-05-18,33.04,Clothing,East
CUST144,2024-05-20,816.32,Books,East
CUST105,2024-05-20,289.04,Health,West
CUST040,2024-05-21,126.98,Books,East
CUST061,2024-05-23,699.77,Health,North
CUST042,2024-05-27,632.65,Electronics,West
CUST046,2024-05-27,878.7,Books,North
CUST106,2024-05-28,737.72,Home,South
CUST007,2024-06-01,805.45,Home,East
CUST046,2024-06-03,289.21,Clothing,East
CUST086,2024-06-06,185.67,Home,North
CUST106,2024-06-07,753.11,Clothing,West
CUST064,2024-06-10,808.77,Electronics,West
CUST069,2024-06-11,990.6,Health,East
CUST041,2024-06-11,418.49,Electronics,North
CUST028,2024-06-11,378.3,Health,South
CUST098,2024-06-15,778.65,Health,North
CUST010,2024-06-16,347.4,Clothing,West
CUST121,2024-06-18,931.45,Home,East
CUST057,2024-06-19,859.83,Home,East
CUST052,2024-06-20,434.7,Clothing,East
CUST118,2024-06-21,753.36,Clothing,South
CUST090,2024-06-23,757,Electronics,South
CUST079,2024-06-24,112.09,Clothing,West
CUST059,2024-06-24,903.53,Home,North
CUST058,2024-06-25,510.2,Clothing,North
CUST007,2024-06-25,828.19,Clothing,North
CUST050,2024-06-27,326.85,Health,South
CUST103,2024-07-02,896.57,Clothing,East
CUST085,2024-07-03,395.31,Electronics,West
CUST072,2024-07-06,20.73,Clothing,West
CUST018,2024-07-10,906.33,Books,South
CUST072,2024-07-11,100.37,Books,South
CUST090,2024-07-11,326.12,Health,East
CUST131,2024-07-12,950.56,Health,East
CUST103,2024-07-18,951.1,Books,South
CUST138,2024-07-18,577.7,Health,West
CUST085,2024-07-20,635.52,Health,East
CUST008,2024-07-20,453.96,Home,East
CUST030,2024-07-21,300.28,Home,West
CUST067,2024-07-23,335.38,Clothing,East
CUST046,2024-07-24,675.79,Books,West
CUST149,2024-07-24,754.85,Electronics,North
CUST068,2024-07-24,793.66,Books,East
CUST010,2024-07-30,791.72,Books,East
CUST028,2024-07-30,100.29,Home,North
CUST112,2024-08-02,499.48,Home,West
CUST089,2024-08-03,66.98,Health,East
CUST081,2024-08-03,554.03,Electronics,North
CUST112,2024-08-04,447.12,Home,West
CUST131,2024-08-09,888.83,Health,East
CUST030,2024-08-09,357.41,Electronics,South
CUST099,2024-08-09,125.9,Home,North
CUST148,2024-08-10,151.56,Books,West
CUST049,2024-08-10,763.9,Books,South
CUST066,2024-08-10,622.04,Electronics,West
CUST012,2024-08-12,110.11,Electronics,South
CUST112,2024-08-15,93.27,Home,South
CUST001,2024-08-17,703.96,Home,North
CUST134,2024-08-19,82.04,Electronics,North
CUST138,2024-08-19,823.64,Electronics,South
CUST051,2024-08-20,709.18,Health,North
CUST094,2024-08-20,90.54,Health,West
CUST111,2024-08-21,93.99,Health,East
CUST018,2024-08-21,986.77,Books,West
CUST085,2024-08-25,380.53,Books,South
CUST081,2024-08-26,376.94,Health,West
CUST032,2024-08-27,814.67,Health,South
CUST077,2024-08-27,947.78,Electronics,West
CUST130,2024-08-30,986.14,Books,West
CUST080,2024-09-02,755.84,Health,North
CUST105,2024-09-03,382.5,Clothing,South
CUST084,2024-09-05,92.67,Home,South
CUST104,2024-09-07,779.38,Health,East
CUST076,2024-09-15,562.82,Books,West
CUST142,2024-09-16,429.98,Health,West
CUST033,2024-09-17,907.29,Clothing,East
CUST050,2024-09-18,120.09,Electronics,South
CUST108,2024-09-18,497.7,Books,West
CUST098,2024-09-19,21.24,Electronics,East
CUST045,2024-09-19,473.97,Home,East
CUST146,2024-09-21,65.74,Electronics,East
CUST078,2024-09-25,127.63,Health,West
CUST104,2024-09-26,126.35,Clothing,South
CUST141,2024-09-26,652.72,Electronics,South
CUST001,2024-09-27,748.58,Clothing,East
CUST078,2024-09-29,587.54,Books,East
CUST074,2024-09-30,962.55,Books,South
CUST054,2024-10-02,381.12,Health,East
CUST111,2024-10-02,292.85,Health,East
CUST149,2024-10-04,869.91,Health,South
CUST083,2024-10-04,231.36,Clothing,West
CUST120,2024-10-08,963.59,Home,East
CUST114,2024-10-09,22.03,Home,West
CUST114,2024-10-11,970.18,Home,East
CUST055,2024-10-11,52.73,Books,East
CUST131,2024-10-16,892.23,Books,East
CUST122,2024-10-17,532.42,Home,North
CUST044,2024-10-17,993.04,Health,West
CUST022,2024-10-21,83.06,Electronics,West
CUST073,2024-10-25,558.32,Home,East
CUST132,2024-10-30,969.61,Electronics,South
CUST086,2024-11-02,527.87,Home,East
CUST024,2024-11-05,633.1,Electronics,North
CUST061,2024-11-06,698.79,Health,East
CUST080,2024-11-08,460,Books,North
CUST058,2024-11-19,631.28,Home,East
CUST051,2024-11-24,588.47,Home,West
CUST038,2024-11-26,902.15,Health,East
CUST007,2024-11-27,54.99,Clothing,West
CUST012,2024-11-28,288.15,Home,South
CUST063,2024-12-03,950.91,Electronics,South
CUST122,2024-12-04,891.36,Health,East
CUST019,2024-12-06,461.1,Clothing,East
CUST117,2024-12-10,623.93,Home,South
CUST107,2024-12-13,284.61,Home,North
CUST148,2024-12-23,196.24,Books,South
CUST050,2024-12-23,469.06,Clothing,South
CUST099,2024-12-23,359.82,Health,North
CUST127,2024-12-27,587.82,Electronics,South
CUST103,2024-12-28,86.96,Home,South
CUST063,2024-12-29,974.65,Health,North
CUST038,2024-12-29,986.35,Books,North